FEATURE,K,accuracy,ap,auroc,base_rate,f1,threshold
entropy,1,0.7150635208711433,0.40784817618513175,0.7437673130193906,0.20689655172413793,0.5015873015873016,1.6827020558317929
entropy,2,0.73502722323049,0.41087079992822995,0.7496687944116585,0.20689655172413793,0.5133333333333333,1.308222454026003
entropy,3,0.7332123411978222,0.43641512331681115,0.7570958288168935,0.20689655172413793,0.5211726384364821,1.1046801375919073
entropy,4,0.7477313974591652,0.4409682213999775,0.756573929101931,0.20689655172413793,0.5255972696245734,1.0009258954449103
entropy,6,0.7368421052631579,0.4398282943577373,0.7543257457144004,0.20689655172413793,0.5150501672240803,0.8367326935269714
entropy,8,0.7313974591651543,0.43735178851521944,0.7561925408486893,0.20689655172413793,0.5163398692810458,0.7201412758449329
entropy,12,0.7513611615245009,0.4524249125887225,0.7575775823999358,0.20689655172413793,0.5124555160142349,0.6887314182302916
entropy,16,0.7368421052631579,0.44985065895210685,0.7623549720984383,0.20689655172413793,0.5214521452145214,0.5528271423639523
surprisal,1,0.6642468239564429,0.349708551621959,0.6880043357822474,0.20689655172413793,0.43425076452599387,3.4253287315368652
surprisal,2,0.6188747731397459,0.3546433906847065,0.6957324661768839,0.20689655172413793,0.44148936170212766,1.788756936788559
surprisal,3,0.6442831215970962,0.3763596393979308,0.7093018587659079,0.20689655172413793,0.4644808743169399,1.4315375994483475
surprisal,4,0.6388384754990926,0.3854048259342499,0.7134971295515677,0.20689655172413793,0.4693333333333333,1.1236902178015953
surprisal,6,0.6406533575317604,0.3929567101780737,0.7126139146493236,0.20689655172413793,0.46195652173913043,0.8467407684280867
surprisal,8,0.7695099818511797,0.419023283733643,0.7202416797141595,0.20689655172413793,0.4641350210970464,1.2994570145965554
surprisal,12,0.7531760435571688,0.42463713318411234,0.7281705407683969,0.20689655172413793,0.4728682170542636,0.926482956080387
surprisal,16,0.7549909255898367,0.43529693613411946,0.731562888915653,0.20689655172413793,0.47876447876447875,0.7757511647861755
